8033306 2 12.42 14/06/2022 LC
8033306 1 15.32 14/06/2006 X
8052587 3 6.13 27/11/2002 NH
8687282 1 5.0 10/08/2009 RX
8574508 10 21.56 21/06/2001 X
8856428 1 15.11 20/05/2019 LC
8687282 4 7.8 27/08/2005 X
8052587 1 11.45 01/03/2020 LC
8284522 7 14.28 27/02/2012 RX
8284522 4 22.20 24/10/2012 LC
8687282 3 7.5 13/10/2014 RX
8033306 3 11.41 13/08/2011 LC
8574508 9 5.47 24/03/2003 X
8284522 9 8.48 26/07/2004 RX
8500170 5 12.51 11/04/2017 RX
8207380 4 6.2 14/01/2013 NH
8500170 3 21.27 02/02/2000 NH
8033306 10 5.41 09/06/2005 NH
8396195 5 23.41 26/11/2004 X
8284522 10 20.25 03/10/2000 RX
8687282 9 12.6 15/09/2019 X
8052587 7 15.49 24/10/2021 X
8687282 8 21.52 25/09/2012 X
8033306 6 18.47 26/01/2021 X
8500170 4 19.46 13/03/2011 NH
8284522 4 19.31 09/11/2004 LC
8574508 1 9.6 24/01/2015 X
8207380 7 4.28 14/08/2022 NH
8284522 3 16.50 14/08/2007 NH
8856428 10 15.28 14/05/2008 X
8856428 2 23.0 10/02/2012 LC
8396195 2 22.58 01/09/2000 RX
8052587 8 11.31 02/01/2007 NH
8574508 6 8.8 04/04/2005 X
8052587 7 16.58 02/11/2011 NH
8284522 9 19.20 04/07/2007 RX
8052587 8 19.25 17/10/2007 NH
8052587 2 12.2 12/05/2020 X
8284522 1 18.34 15/08/2000 LC
8396195 5 8.37 23/07/2014 X
8284522 9 16.27 14/06/2013 RX
8284522 5 8.11 06/07/2020 RX
8856428 5 16.31 27/12/2019 NH
8985097 3 22.31 22/03/2014 NH
8574508 7 22.13 07/09/2014 RX
8574508 8 0.27 08/10/2007 X
8033306 2 9.41 04/08/2011 LC
8052587 8 18.41 17/01/2011 RX
8033306 1 6.21 26/01/2016 LC
8052587 6 6.50 28/10/2008 LC
8207380 10 20.7 18/06/2002 NH
8033306 10 11.58 28/02/2008 NH
8574508 4 13.49 02/02/2005 LC
8985097 4 21.55 03/02/2000 RX
8284522 3 3.36 11/09/2013 NH
8396195 10 19.26 22/04/2016 X
8500170 9 6.35 04/07/2004 LC
8856428 6 1.2 09/08/2008 LC
8574508 9 4.49 18/01/2017 X
8574508 8 7.40 06/05/2013 NH
8052587 3 15.17 10/07/2012 RX
8687282 8 17.17 17/05/2012 RX
8985097 10 22.13 12/02/2014 X
8856428 2 7.12 25/04/2018 RX
8985097 4 19.9 03/03/2004 X
8500170 7 19.42 27/01/2005 NH
8574508 3 15.40 18/11/2018 X
8052587 1 2.16 18/01/2008 LC
8207380 10 1.54 08/04/2021 RX
8687282 8 10.26 20/07/2016 RX
8687282 8 22.31 15/10/2001 X
8500170 1 21.26 27/01/2002 LC
8574508 5 21.2 13/03/2012 RX
8033306 6 6.26 12/06/2007 X
8985097 6 9.42 26/07/2004 RX
8500170 9 19.24 14/06/2021 LC
8985097 5 2.18 27/04/2008 X
8396195 9 12.17 08/10/2005 X
8396195 4 10.57 14/09/2006 NH
8856428 7 15.56 10/09/2017 NH
8033306 9 13.48 28/06/2008 LC
8052587 5 17.52 07/06/2022 X
8985097 6 8.57 03/09/2005 X
8396195 8 19.17 24/07/2008 NH
8284522 5 11.57 14/02/2003 LC
8052587 3 17.11 14/06/2007 X
8500170 4 13.23 03/01/2000 NH
8284522 2 5.52 01/02/2020 X
8500170 6 14.49 18/06/2016 LC
8207380 5 13.38 27/05/2011 X
8033306 1 11.50 08/12/2005 RX
8500170 7 0.9 24/12/2006 LC
8856428 2 22.53 20/09/2014 LC
8284522 9 11.55 04/12/2001 NH
8033306 4 16.49 01/10/2003 RX
8396195 7 1.18 16/12/2019 X
8574508 5 22.39 19/01/2009 X
8574508 9 4.19 28/12/2008 LC
8985097 6 21.54 21/04/2005 NH
8500170 1 8.38 04/10/2002 NH
